name;type;lat;lng;visibility;wgs84;amsl_ft;agl_ft;state;prec_hz;prec_vt;boundary;creation_date;verification_date;validity_date;data_provider;quality_factor;city
C01019;Chateau d'eau;46.194445;5.163889;NON BALISE;OUI;991.0;180;VERIFIE;inconnu;inconnu;-9999;30/08/2018;08/10/2020;08/10/2025;SIA;6;Saint-Remy
P01020;Pylone;46.0225;4.868612;NON BALISE;OUI;1086.0;174;VERIFIE;inconnu;inconnu;-9999;30/08/2018;06/10/2020;06/10/2025;SIA;6;Villeneuve
M01024;Mat;46.234084;5.715862;JOUR ET NUIT;OUI;3635.0;370;NON VERIFIE;inconnu;inconnu;-9999;20/01/2021;20/01/2021;20/01/2026;SIA;4;Echallon
M01026;Mat;46.480723;5.065612;JOUR ET NUIT;OUI;976.0;333;NON VERIFIE;inconnu;inconnu;-9999;14/10/2019;14/10/2019;14/10/2024;SIA;4;Saint Trivier de Courtes
E0200-1;Eolienne;49.015709;3.315345;JOUR ET NUIT;OUI;1073.0;404;VERIFIE;conforme ;inconnu;90;09/10/2017;05/07/2022;05/07/2027;DIRCAM/DIA;8;Charly-sur-Marne
E0200-2;Eolienne;49.013609;3.316528;JOUR ET NUIT;OUI;1077.0;404;VERIFIE;conforme ;inconnu;90;09/10/2017;05/07/2022;05/07/2027;DIRCAM/DIA;8;Charly-sur-Marne
E0200-3;Eolienne;49.01157;3.317787;JOUR ET NUIT;OUI;1063.0;404;VERIFIE;conforme ;inconnu;90;09/10/2017;05/07/2022;05/07/2027;DIRCAM/DIA;8;Charly-sur-Marne
E0200-4;Eolienne;49.00947;3.319062;JOUR ET NUIT;OUI;1063.0;404;VERIFIE;conforme ;inconnu;90;09/10/2017;05/07/2022;05/07/2027;DIRCAM/DIA;8;Charly-sur-Marne
E0200-5;Eolienne;49.006487;3.320864;JOUR ET NUIT;OUI;1080.0;404;VERIFIE;conforme ;inconnu;90;09/10/2017;05/07/2022;05/07/2027;DIRCAM/DIA;8;Charly-sur-Marne
E0200-6;Eolienne;49.017509;3.313087;JOUR ET NUIT;OUI;1070.0;404;VERIFIE;conforme ;inconnu;90;09/10/2017;05/07/2022;05/07/2027;DIRCAM/DIA;8;Charly-sur-Marne
E0200-7;Eolienne;49.019312;3.31187;JOUR ET NUIT;OUI;1070.0;404;VERIFIE;conforme ;inconnu;90;09/10/2017;05/07/2022;05/07/2027;DIRCAM/DIA;8;Charly-sur-Marne
E0200-8;Eolienne;49.021023;3.310139;JOUR ET NUIT;OUI;1067.0;404;VERIFIE;conforme ;inconnu;90;09/10/2017;05/07/2022;05/07/2027;DIRCAM/DIA;8;Charly-sur-Marne
E0200-9;Eolienne;49.022817;3.30855;JOUR ET NUIT;OUI;1077.0;404;VERIFIE;conforme ;inconnu;90;09/10/2017;05/07/2022;05/07/2027;DIRCAM/DIA;8;Charly-sur-Marne
E0200-10;Eolienne;49.024578;3.306875;JOUR ET NUIT;OUI;1086.0;404;VERIFIE;conforme ;inconnu;90;09/10/2017;05/07/2022;05/07/2027;DIRCAM/DIA;8;Charly-sur-Marne
E0200-11;Eolienne;49.026259;3.305028;JOUR ET NUIT;OUI;1083.0;404;VERIFIE;conforme ;inconnu;90;09/10/2017;05/07/2022;05/07/2027;DIRCAM/DIA;8;Charly-sur-Marne
E0201-1;Eolienne;49.762231;3.215281;JOUR ET NUIT;OUI;759.0;493;NON VERIFIE;inconnu;inconnu;117;09/10/2017;27/02/2024;27/02/2029;SIA;8;Artemps
E0201-2;Eolienne;49.766487;3.216548;JOUR ET NUIT;OUI;785.0;493;NON VERIFIE;inconnu;inconnu;117;09/10/2017;27/02/2024;27/02/2029;SIA;8;Artemps
E0201-3;Eolienne;49.763075;3.224495;JOUR ET NUIT;OUI;769.0;493;NON VERIFIE;inconnu;inconnu;117;09/10/2017;27/02/2024;27/02/2029;SIA;8;Artemps
E0201-4;Eolienne;49.758853;3.221909;JOUR ET NUIT;OUI;775.0;493;NON VERIFIE;inconnu;inconnu;117;09/10/2017;27/02/2024;27/02/2029;SIA;8;Clastres
E0202-1;Eolienne;49.930987;3.290009;JOUR ET NUIT;OUI;869.0;410;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Lehaucourt
E0202-2;Eolienne;49.92785;3.285531;JOUR ET NUIT;OUI;833.0;410;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Lehaucourt
E0202-3;Eolienne;49.934553;3.292725;JOUR ET NUIT;OUI;837.0;410;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Lehaucourt
E0202-4;Eolienne;49.938306;3.293028;JOUR ET NUIT;OUI;807.0;410;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Lehaucourt
E0203-1;Eolienne;49.893056;3.271945;JOUR ET NUIT;OUI;880.0;460;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Lehaucourt
E0203-2;Eolienne;49.888628;3.272925;JOUR ET NUIT;OUI;864.0;460;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Lehaucourt
E0203-3;Eolienne;49.885503;3.285623;JOUR ET NUIT;OUI;772.0;460;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Omissy
E0203-4;Eolienne;49.890573;3.286256;JOUR ET NUIT;OUI;788.0;460;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Lehaucourt
E0203-5;Eolienne;49.894884;3.285784;JOUR ET NUIT;OUI;808.0;460;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Lehaucourt
E0203-6;Eolienne;49.899023;3.285214;JOUR ET NUIT;OUI;847.0;460;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Lesdins
E0203-7;Eolienne;49.904925;3.28362;JOUR ET NUIT;OUI;893.0;460;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Lehaucourt
E0203-8;Eolienne;49.900917;3.266345;JOUR ET NUIT;OUI;854.0;460;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Lehaucourt
E0203-9;Eolienne;49.906198;3.263814;JOUR ET NUIT;OUI;841.0;460;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Lehaucourt
E0203-10;Eolienne;49.903025;3.255595;JOUR ET NUIT;OUI;857.0;460;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Gricourt
E0203-11;Eolienne;49.897634;3.257495;JOUR ET NUIT;OUI;814.0;460;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Gricourt
E0203-12;Eolienne;49.8911;3.258934;JOUR ET NUIT;OUI;844.0;460;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Gricourt
E0203-13;Eolienne;49.880984;3.263278;JOUR ET NUIT;OUI;847.0;460;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Gricourt
E0203-14;Eolienne;49.879814;3.275162;JOUR ET NUIT;OUI;850.0;460;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Omissy
E0203-15;Eolienne;49.879575;3.286345;JOUR ET NUIT;OUI;850.0;460;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Omissy
E0204-1;Eolienne;49.66792;4.035681;JOUR ET NUIT;OUI;961.0;475;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Lislet
E0204-2;Eolienne;49.6708;4.031009;JOUR ET NUIT;OUI;967.0;475;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Lislet
E0204-3;Eolienne;49.673842;4.040298;JOUR ET NUIT;OUI;977.0;475;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Montcornet
E0204-4;Eolienne;49.670178;4.04365;JOUR ET NUIT;OUI;964.0;475;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Montloue
E0204-5;Eolienne;49.668353;4.047487;JOUR ET NUIT;OUI;924.0;475;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Montloue
E0204-6;Eolienne;49.672562;4.048809;JOUR ET NUIT;OUI;967.0;475;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Montloue
E0204-7;Eolienne;49.670409;4.052073;JOUR ET NUIT;OUI;961.0;475;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Montloue
E0204-8;Eolienne;49.667214;4.051714;JOUR ET NUIT;OUI;984.0;475;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Montloue
E0204-9;Eolienne;49.675614;4.047189;JOUR ET NUIT;OUI;987.0;475;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Montloue
E0204-10;Eolienne;49.678403;4.044342;JOUR ET NUIT;OUI;993.0;475;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Montcornet
E0204-11;Eolienne;49.678117;4.036892;JOUR ET NUIT;OUI;993.0;475;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Lislet
E0204-12;Eolienne;49.678417;4.032014;JOUR ET NUIT;OUI;987.0;475;VERIFIE;conforme ;inconnu;52;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Lislet
E0204-13;Eolienne;49.67625;4.024734;JOUR ET NUIT;OUI;970.0;475;VERIFIE;conforme ;inconnu;80;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Lislet
