name;type;lat;lng;visibility;wgs84;amsl_ft;agl_ft;state;prec_hz;prec_vt;boundary;creation_date;verification_date;validity_date;data_provider;quality_factor;city
E1202-1;Eolienne;44.044998;2.69545;JOUR ET NUIT;OUI;2628.0;312;VERIFIE;conforme;inconnu;52;09/10/2017;12/04/2018;12/04/2023;DIRCAM/DIA;8;Broquiès
E1202-2;Eolienne;44.04627;2.695987;JOUR ET NUIT;OUI;2638.0;312;VERIFIE;conforme;inconnu;52;09/10/2017;12/04/2018;12/04/2023;DIRCAM/DIA;8;Broquiès
E1203-1;Eolienne;44.247764;2.854903;JOUR ET NUIT;OUI;3573.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;12/04/2018;12/04/2023;DIRCAM/DIA;8;Ségur
E1203-2;Eolienne;44.247887;2.85865;JOUR ET NUIT;OUI;3632.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;12/04/2018;12/04/2023;DIRCAM/DIA;8;Ségur
E1203-3;Eolienne;44.245064;2.861298;JOUR ET NUIT;OUI;3622.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;12/04/2018;12/04/2023;DIRCAM/DIA;8;Ségur
E1203-4;Eolienne;44.242889;2.863323;JOUR ET NUIT;OUI;3592.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;12/04/2018;12/04/2023;DIRCAM/DIA;8;Ségur
E1203-5;Eolienne;44.245937;2.851364;JOUR ET NUIT;OUI;3589.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;12/04/2018;12/04/2023;DIRCAM/DIA;8;Ségur
E1203-6;Eolienne;44.238481;2.862062;JOUR ET NUIT;OUI;3602.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;12/04/2018;12/04/2023;DIRCAM/DIA;8;Ségur
E1204-1;Eolienne;44.153128;2.8869;JOUR ET NUIT;OUI;3894.0;328;VERIFIE;conforme;inconnu;71;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Castelnau-Pégayrols
E1204-2;Eolienne;44.152287;2.883853;JOUR ET NUIT;OUI;3907.0;328;VERIFIE;conforme;inconnu;71;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Castelnau-Pégayrols
E1204-3;Eolienne;44.151173;2.881831;JOUR ET NUIT;OUI;3911.0;328;VERIFIE;conforme;inconnu;71;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Castelnau-Pégayrols
E1204-4;Eolienne;44.149817;2.880245;JOUR ET NUIT;OUI;3914.0;328;VERIFIE;conforme;inconnu;71;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Castelnau-Pégayrols
E1204-5;Eolienne;44.148403;2.878292;JOUR ET NUIT;OUI;3884.0;328;VERIFIE;conforme;inconnu;71;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Castelnau-Pégayrols
E1204-6;Eolienne;44.147545;2.87622;JOUR ET NUIT;OUI;3888.0;328;VERIFIE;conforme;inconnu;71;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Castelnau-Pégayrols
E1204-7;Eolienne;44.145653;2.874467;JOUR ET NUIT;OUI;3835.0;328;VERIFIE;conforme;inconnu;71;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Castelnau-Pégayrols
E1204-8;Eolienne;44.16185;2.8954;JOUR ET NUIT;OUI;3911.0;328;VERIFIE;conforme;inconnu;71;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Castelnau-Pégayrols
E1204-9;Eolienne;44.16312;2.89735;JOUR ET NUIT;OUI;3914.0;328;VERIFIE;conforme;inconnu;71;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Castelnau-Pégayrols
E1204-10;Eolienne;44.164353;2.898959;JOUR ET NUIT;OUI;3920.0;328;VERIFIE;conforme;inconnu;71;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Castelnau-Pégayrols
E1204-11;Eolienne;44.165637;2.900464;JOUR ET NUIT;OUI;3901.0;328;VERIFIE;conforme;inconnu;71;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Castelnau-Pégayrols
E1204-12;Eolienne;44.166937;2.902703;JOUR ET NUIT;OUI;3894.0;328;VERIFIE;conforme;inconnu;71;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Castelnau-Pégayrols
E1204-13;Eolienne;44.168248;2.903984;JOUR ET NUIT;OUI;3878.0;328;VERIFIE;conforme;inconnu;71;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Castelnau-Pégayrols
E1205-1;Eolienne;44.081345;2.684664;JOUR ET NUIT;OUI;2996.0;394;VERIFIE;conforme;inconnu;71;09/10/2017;12/04/2018;12/04/2023;DIRCAM/DIA;8;Lestrade-et-Thouels
E1205-2;Eolienne;44.083123;2.686387;JOUR ET NUIT;OUI;2983.0;394;VERIFIE;conforme;inconnu;71;09/10/2017;12/04/2018;12/04/2023;DIRCAM/DIA;8;Lestrade-et-Thouels
E1205-3;Eolienne;44.085742;2.688523;JOUR ET NUIT;OUI;3019.0;394;VERIFIE;conforme;inconnu;71;09/10/2017;12/04/2018;12/04/2023;DIRCAM/DIA;8;Lestrade-et-Thouels
E1205-4;Eolienne;44.078903;2.683348;JOUR ET NUIT;OUI;2953.0;394;VERIFIE;conforme;inconnu;71;09/10/2017;12/04/2018;12/04/2023;DIRCAM/DIA;8;Lestrade-et-Thouels
E1205-5;Eolienne;44.077117;2.681678;JOUR ET NUIT;OUI;2897.0;394;VERIFIE;conforme;inconnu;71;09/10/2017;12/04/2018;12/04/2023;DIRCAM/DIA;8;Lestrade-et-Thouels
E1206-1;Eolienne;44.246323;2.701514;JOUR ET NUIT;OUI;3166.0;410;VERIFIE;conforme;inconnu;80;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Pont-de-Salars
E1206-2;Eolienne;44.243053;2.698798;JOUR ET NUIT;OUI;3163.0;410;VERIFIE;conforme;inconnu;80;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Canet-de-Salars
E1206-3;Eolienne;44.240331;2.696537;JOUR ET NUIT;OUI;3117.0;410;VERIFIE;conforme;inconnu;80;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Canet-de-Salars
E1206-4;Eolienne;44.249134;2.70145;JOUR ET NUIT;OUI;3163.0;410;VERIFIE;conforme;inconnu;80;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Pont-de-Salars
E1206-5;Eolienne;44.251414;2.702398;JOUR ET NUIT;OUI;3110.0;410;VERIFIE;conforme;inconnu;80;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Pont-de-Salars
E1206-6;Eolienne;44.253984;2.703417;JOUR ET NUIT;OUI;3090.0;410;VERIFIE;conforme;inconnu;80;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Pont-de-Salars
E1207-1;Eolienne;44.1496;2.79757;JOUR ET NUIT;OUI;3651.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-2;Eolienne;44.148289;2.794345;JOUR ET NUIT;OUI;3655.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-3;Eolienne;44.146987;2.791125;JOUR ET NUIT;OUI;3612.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-4;Eolienne;44.151281;2.80082;JOUR ET NUIT;OUI;3655.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-5;Eolienne;44.153706;2.805025;JOUR ET NUIT;OUI;3658.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-6;Eolienne;44.156425;2.808209;JOUR ET NUIT;OUI;3642.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-7;Eolienne;44.157789;2.8112;JOUR ET NUIT;OUI;3638.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-8;Eolienne;44.159445;2.81385;JOUR ET NUIT;OUI;3648.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-9;Eolienne;44.160542;2.81665;JOUR ET NUIT;OUI;3628.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-10;Eolienne;44.161912;2.823675;JOUR ET NUIT;OUI;3573.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-11;Eolienne;44.163095;2.827848;JOUR ET NUIT;OUI;3622.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-12;Eolienne;44.163028;2.834828;JOUR ET NUIT;OUI;3645.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-13;Eolienne;44.138762;2.786545;JOUR ET NUIT;OUI;3602.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-14;Eolienne;44.137412;2.784125;JOUR ET NUIT;OUI;3474.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-15;Eolienne;44.136259;2.781198;JOUR ET NUIT;OUI;3523.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-16;Eolienne;44.136328;2.775117;JOUR ET NUIT;OUI;3533.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-17;Eolienne;44.13475;2.772448;JOUR ET NUIT;OUI;3579.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-18;Eolienne;44.133284;2.770092;JOUR ET NUIT;OUI;3543.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-19;Eolienne;44.144145;2.764595;JOUR ET NUIT;OUI;3638.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-20;Eolienne;44.146631;2.767312;JOUR ET NUIT;OUI;3589.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-21;Eolienne;44.148639;2.770564;JOUR ET NUIT;OUI;3546.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-22;Eolienne;44.150059;2.773573;JOUR ET NUIT;OUI;3556.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-23;Eolienne;44.151225;2.776867;JOUR ET NUIT;OUI;3543.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-24;Eolienne;44.151873;2.780828;JOUR ET NUIT;OUI;3566.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-25;Eolienne;44.1527;2.784223;JOUR ET NUIT;OUI;3599.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-26;Eolienne;44.154437;2.787084;JOUR ET NUIT;OUI;3642.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-27;Eolienne;44.156137;2.789837;JOUR ET NUIT;OUI;3658.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-28;Eolienne;44.156895;2.794923;JOUR ET NUIT;OUI;3710.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1207-29;Eolienne;44.1578;2.799075;JOUR ET NUIT;OUI;3704.0;410;VERIFIE;conforme;inconnu;90;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;8;Salles-Curan
E1209-1;Eolienne;43.837778;2.594723;NON BALISE;OUI;2717.0;207;NON VERIFIE;inconnu;inconnu;-9999;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;2;Montfranc
E120A-1;Eolienne;44.089723;2.733373;JOUR ET NUIT;OUI;3095.0;401;VERIFIE;conforme;inconnu;82;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;6;Ayssènes
E120A-2;Eolienne;44.089823;2.728962;JOUR ET NUIT;OUI;3072.0;401;VERIFIE;conforme;inconnu;82;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;6;Ayssènes
E120A-3;Eolienne;44.092517;2.728789;JOUR ET NUIT;OUI;3068.0;401;VERIFIE;conforme;inconnu;82;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;6;Ayssènes
E120A-4;Eolienne;44.093612;2.723931;JOUR ET NUIT;OUI;3019.0;401;VERIFIE;conforme;inconnu;82;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;6;Ayssènes
E120A-5;Eolienne;44.09605;2.72555;JOUR ET NUIT;OUI;3016.0;401;VERIFIE;conforme;inconnu;82;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;6;Ayssènes
E120A-6;Eolienne;44.086389;2.733487;JOUR ET NUIT;OUI;3039.0;401;VERIFIE;conforme;inconnu;82;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;6;Le Truel
E120A-7;Eolienne;44.08605;2.738292;JOUR ET NUIT;OUI;3055.0;401;VERIFIE;conforme;inconnu;82;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;6;Le Truel
E120A-8;Eolienne;44.083214;2.738384;JOUR ET NUIT;OUI;3032.0;401;VERIFIE;conforme;inconnu;82;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;6;Le Truel
E120B-1;Eolienne;44.313828;2.699903;JOUR ET NUIT;OUI;3135.0;363;VERIFIE;conforme;inconnu;87;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;6;Flavin
E120B-2;Eolienne;44.315648;2.700112;JOUR ET NUIT;OUI;3116.0;363;VERIFIE;conforme;inconnu;87;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;6;Flavin
E120B-3;Eolienne;44.317328;2.701367;JOUR ET NUIT;OUI;3116.0;363;VERIFIE;conforme;inconnu;87;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;6;Flavin
E120B-4;Eolienne;44.311434;2.698456;JOUR ET NUIT;OUI;3122.0;363;VERIFIE;conforme;inconnu;87;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;6;Flavin
E120B-5;Eolienne;44.308698;2.696131;JOUR ET NUIT;OUI;3083.0;363;VERIFIE;conforme;inconnu;87;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;6;Flavin
E120C-1;Eolienne;43.7531;2.8472;JOUR ET NUIT;OUI;3487.0;328;VERIFIE;conforme;inconnu;71;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;6;Murasson
E120C-2;Eolienne;43.752578;2.8449;JOUR ET NUIT;OUI;3478.0;328;VERIFIE;conforme;inconnu;71;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;6;Murasson
E120C-3;Eolienne;43.751937;2.842442;JOUR ET NUIT;OUI;3448.0;328;VERIFIE;conforme;inconnu;71;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;6;Murasson
E120C-4;Eolienne;43.751092;2.840139;JOUR ET NUIT;OUI;3428.0;328;VERIFIE;conforme;inconnu;71;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;6;Murasson
E120C-5;Eolienne;43.751445;2.850245;JOUR ET NUIT;OUI;3589.0;328;VERIFIE;conforme;inconnu;71;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;6;Murasson
E120C-6;Eolienne;43.750964;2.853798;JOUR ET NUIT;OUI;3602.0;328;VERIFIE;conforme;inconnu;71;09/10/2017;13/04/2018;13/04/2023;DIRCAM/DIA;6;Murasson
E1210-1;Eolienne;43.758284;2.891784;JOUR ET NUIT;OUI;3888.0;328;VERIFIE;conforme ;inconnu;60;13/04/2018;04/12/2018;04/12/2023;DIRCAM/DIA;4;Peux-et-Couffouleux
E1210-2;Eolienne;43.757648;2.88945;JOUR ET NUIT;OUI;3796.0;328;VERIFIE;conforme;inconnu;60;13/04/2018;04/12/2018;04/12/2023;DIRCAM/DIA;4;Peux-et-Couffouleux
E1210-3;Eolienne;43.756637;2.887148;JOUR ET NUIT;OUI;3750.0;328;VERIFIE;conforme;inconnu;60;13/04/2018;04/12/2018;04/12/2023;DIRCAM/DIA;4;Peux-et-Couffouleux
E1210-4;Eolienne;43.756267;2.884525;JOUR ET NUIT;OUI;3793.0;328;VERIFIE;conforme;inconnu;60;13/04/2018;04/12/2018;04/12/2023;DIRCAM/DIA;4;Peux-et-Couffouleux
E1210-5;Eolienne;43.755864;2.881864;JOUR ET NUIT;OUI;3799.0;328;VERIFIE;conforme;inconnu;60;13/04/2018;04/12/2018;04/12/2023;DIRCAM/DIA;4;Peux-et-Couffouleux
E1210-6;Eolienne;43.7555;2.879514;JOUR ET NUIT;OUI;3802.0;328;VERIFIE;conforme;inconnu;60;13/04/2018;04/12/2018;04/12/2023;DIRCAM/DIA;4;Peux-et-Couffouleux
E1210-7;Eolienne;43.755067;2.877373;JOUR ET NUIT;OUI;3802.0;328;VERIFIE;conforme;inconnu;60;13/04/2018;04/12/2018;04/12/2023;DIRCAM/DIA;4;Peux-et-Couffouleux
E1211-1;Eolienne;44.022223;3.081945;JOUR ET NUIT;OUI;3051.0;410;VERIFIE;conforme ;inconnu;100;13/04/2018;02/03/2020;02/03/2025;DIRCAM/DIA;6;Lapanouse-de-Cernon
E1211-2;Eolienne;44.023889;3.083612;JOUR ET NUIT;OUI;3015.0;410;VERIFIE;conforme ;inconnu;100;13/04/2018;02/03/2020;02/03/2025;DIRCAM/DIA;6;Lapanouse-de-Cernon
E1211-3;Eolienne;44.025;3.085;JOUR ET NUIT;OUI;2969.0;410;VERIFIE;conforme ;inconnu;100;13/04/2018;02/03/2020;02/03/2025;DIRCAM/DIA;6;Lapanouse-de-Cernon
E1211-4;Eolienne;44.024167;3.095834;JOUR ET NUIT;OUI;2956.0;410;VERIFIE;conforme ;inconnu;100;13/04/2018;02/03/2020;02/03/2025;DIRCAM/DIA;6;Lapanouse-de-Cernon
E1211-5;Eolienne;44.025278;3.098056;JOUR ET NUIT;OUI;2972.0;410;VERIFIE;conforme ;inconnu;100;13/04/2018;02/03/2020;02/03/2025;DIRCAM/DIA;6;Lapanouse-de-Cernon
E1211-6;Eolienne;44.026112;3.1;JOUR ET NUIT;OUI;2992.0;410;VERIFIE;conforme ;inconnu;100;13/04/2018;02/03/2020;02/03/2025;DIRCAM/DIA;6;Lapanouse-de-Cernon
E1212-1;Eolienne;44.336117;2.791014;JOUR ET NUIT;OUI;3294.0;394;VERIFIE;conforme ;inconnu;70;13/05/2018;13/05/2018;13/05/2023;DIRCAM/DIA;6;Arques
E1212-2;Eolienne;44.336028;2.794306;JOUR ET NUIT;OUI;3360.0;394;VERIFIE;conforme ;inconnu;70;13/05/2018;13/05/2018;13/05/2023;DIRCAM/DIA;6;Arques
E1212-3;Eolienne;44.336084;2.7975;JOUR ET NUIT;OUI;3337.0;394;VERIFIE;conforme ;inconnu;70;13/05/2018;13/05/2018;13/05/2023;DIRCAM/DIA;6;Arques
E1212-4;Eolienne;44.335973;2.800223;JOUR ET NUIT;OUI;3350.0;328;VERIFIE;conforme ;inconnu;70;13/05/2018;13/05/2018;13/05/2023;DIRCAM/DIA;6;Arques
E1212-5;Eolienne;44.335778;2.803445;JOUR ET NUIT;OUI;3360.0;394;VERIFIE;conforme ;inconnu;70;13/05/2018;13/05/2018;13/05/2023;DIRCAM/DIA;6;Arques
E1212-6;Eolienne;44.3355;2.806362;JOUR ET NUIT;OUI;3337.0;394;VERIFIE;conforme ;inconnu;70;13/05/2018;13/05/2018;13/05/2023;DIRCAM/DIA;6;Arques
E1212-7;Eolienne;44.333056;2.825278;JOUR ET NUIT;OUI;3265.0;394;VERIFIE;conforme ;inconnu;70;13/02/2019;13/02/2019;13/02/2024;DIRCAM/DIA;6;Arques
E1212-8;Eolienne;44.333889;2.828334;JOUR ET NUIT;OUI;3284.0;394;VERIFIE;conforme ;inconnu;70;13/02/2019;13/02/2019;13/02/2024;DIRCAM/DIA;6;Arques
E1212-9;Eolienne;44.334167;2.831389;JOUR ET NUIT;OUI;3314.0;394;VERIFIE;conforme ;inconnu;70;13/02/2019;13/02/2019;13/02/2024;DIRCAM/DIA;6;Arques
E1212-10;Eolienne;44.334723;2.833889;JOUR ET NUIT;OUI;3337.0;394;VERIFIE;conforme ;inconnu;70;13/02/2019;13/02/2019;13/02/2024;DIRCAM/DIA;6;Arques
E1212-11;Eolienne;44.335556;2.836112;JOUR ET NUIT;OUI;3340.0;394;VERIFIE;conforme ;inconnu;70;13/02/2019;13/02/2019;13/02/2024;DIRCAM/DIA;6;Arques
E1213-1;Eolienne;43.782223;3.056667;JOUR ET NUIT;OUI;2717.0;381;VERIFIE;conforme ;inconnu;71;15/02/2019;15/02/2019;15/02/2024;DIRCAM/DIA;6;Tauriac-de-Camares
E1213-2;Eolienne;43.781389;3.055;JOUR ET NUIT;OUI;2746.0;381;VERIFIE;conforme ;inconnu;71;15/02/2019;15/02/2019;15/02/2024;DIRCAM/DIA;6;Tauriac-de-Camares
E1213-3;Eolienne;43.780834;3.053056;JOUR ET NUIT;OUI;2769.0;381;VERIFIE;conforme ;inconnu;71;15/02/2019;15/02/2019;15/02/2024;DIRCAM/DIA;6;Tauriac-de-Camares
E1213-4;Eolienne;43.779723;3.051389;JOUR ET NUIT;OUI;2838.0;381;VERIFIE;conforme ;inconnu;71;25/02/2019;25/02/2019;25/02/2024;DIRCAM/DIA;6;Tauriac-de-Camares
E1213-5;Eolienne;43.778612;3.050278;JOUR ET NUIT;OUI;2904.0;381;VERIFIE;conforme ;inconnu;71;25/02/2019;25/02/2019;25/02/2024;DIRCAM/DIA;6;Tauriac-de-Camares
E1213-6;Eolienne;43.776945;3.049723;JOUR ET NUIT;OUI;2947.0;381;VERIFIE;conforme ;inconnu;71;25/02/2019;25/02/2019;25/02/2024;DIRCAM/DIA;6;Tauriac-de-Camares
E1213-7;Eolienne;43.775556;3.050278;JOUR ET NUIT;OUI;3025.0;381;VERIFIE;conforme ;inconnu;71;25/02/2019;25/02/2019;25/02/2024;DIRCAM/DIA;6;Tauriac-de-Camares
E1213-8;Eolienne;43.773889;3.050834;JOUR ET NUIT;OUI;3002.0;381;VERIFIE;conforme ;inconnu;71;25/02/2019;25/02/2019;25/02/2024;DIRCAM/DIA;6;Tauriac-de-Camares
E1214-1;Eolienne;43.98825;2.893473;JOUR ET NUIT;OUI;2628.0;410;VERIFIE;conforme ;inconnu;82;13/08/2019;07/02/2020;07/02/2025;DIRCAM/DIA;6;Saint Affrique
E1214-2;Eolienne;43.985695;2.891417;JOUR ET NUIT;OUI;2654.0;410;VERIFIE;conforme ;inconnu;82;13/08/2019;07/02/2020;07/02/2025;DIRCAM/DIA;6;Saint Affrique
E1214-3;Eolienne;43.984195;2.890112;JOUR ET NUIT;OUI;2641.0;410;VERIFIE;conforme ;inconnu;82;13/08/2019;07/02/2020;07/02/2025;DIRCAM/DIA;6;Saint Affrique
E1214-4;Eolienne;43.982917;2.887639;JOUR ET NUIT;OUI;2651.0;410;VERIFIE;conforme ;inconnu;82;13/08/2019;07/02/2020;07/02/2025;DIRCAM/DIA;6;Saint Affrique
E1214-5;Eolienne;43.981473;2.884667;JOUR ET NUIT;OUI;2562.0;410;VERIFIE;conforme ;inconnu;82;13/08/2019;07/02/2020;07/02/2025;DIRCAM/DIA;6;Saint Affrique
E1214-6;Eolienne;43.980473;2.880723;JOUR ET NUIT;OUI;2510.0;410;VERIFIE;conforme ;inconnu;82;13/08/2019;07/02/2020;07/02/2025;DIRCAM/DIA;6;Saint Affrique
E1215-1;Eolienne;44.300612;2.687028;JOUR ET NUIT;OUI;3045.0;427;VERIFIE;conforme ;inconnu;98;07/02/2020;07/02/2020;07/02/2025;DIRCAM/DIA;8;Flavin
E1215-2;Eolienne;44.29875;2.686584;JOUR ET NUIT;OUI;3091.0;427;VERIFIE;conforme ;inconnu;98;07/02/2020;07/02/2020;07/02/2025;DIRCAM/DIA;8;Flavin
E1215-3;Eolienne;44.296973;2.685945;JOUR ET NUIT;OUI;3042.0;427;VERIFIE;conforme ;inconnu;98;07/02/2020;07/02/2020;07/02/2025;DIRCAM/DIA;8;Flavin
E1215-4;Eolienne;44.295167;2.685084;JOUR ET NUIT;OUI;3039.0;427;VERIFIE;conforme ;inconnu;98;07/02/2020;07/02/2020;07/02/2025;DIRCAM/DIA;8;Flavin
E1215-5;Eolienne;44.293445;2.684028;JOUR ET NUIT;OUI;3045.0;427;VERIFIE;conforme ;inconnu;98;07/02/2020;07/02/2020;07/02/2025;DIRCAM/DIA;8;Flavin
E1216-1;Eolienne;44.278184;3.029742;JOUR ET NUIT;OUI;3632.0;328;VERIFIE;conforme ;inconnu;82;03/06/2021;03/06/2021;03/06/2026;SIA;10;Sévérac d'Aveyron
E1216-2;Eolienne;44.279898;3.031198;JOUR ET NUIT;OUI;3606.0;328;VERIFIE;conforme ;inconnu;82;03/06/2021;03/06/2021;03/06/2026;SIA;10;Sévérac d'Aveyron
E1216-3;Eolienne;44.281489;3.032637;JOUR ET NUIT;OUI;3606.0;328;VERIFIE;conforme ;inconnu;82;03/06/2021;03/06/2021;03/06/2026;SIA;10;Sévérac d'Aveyron
E1216-4;Eolienne;44.28322;3.034114;JOUR ET NUIT;OUI;3651.0;328;VERIFIE;conforme ;inconnu;82;03/06/2021;03/06/2021;03/06/2026;SIA;10;Sévérac d'Aveyron
E1217-1;Eolienne;43.891667;3.082053;JOUR ET NUIT;OUI;2834.0;360;NON VERIFIE;inconnu;inconnu;78;21/09/2022;21/09/2022;21/09/2027;SIA;4;Marnhagues-et-Latour
E1217-2;Eolienne;43.890609;3.080042;JOUR ET NUIT;OUI;885.0;360;NON VERIFIE;inconnu;inconnu;78;21/09/2022;21/09/2022;21/09/2027;SIA;4;Marnhagues-et-Latour
E1217-3;Eolienne;43.889759;3.078364;JOUR ET NUIT;OUI;2824.0;360;NON VERIFIE;inconnu;inconnu;78;21/09/2022;21/09/2022;21/09/2027;SIA;4;Marnhagues-et-Latour
E1217-4;Eolienne;43.888906;3.076684;JOUR ET NUIT;OUI;2762.0;360;NON VERIFIE;inconnu;inconnu;78;21/09/2022;21/09/2022;21/09/2027;SIA;4;Marnhagues-et-Latour
